Model,Probe,Dataset,N,Model_Acc,Probe_Acc,Precision,Recall,F1,Threshold,TP,FP,TN,FN
Llama-3.1-8B,MLP,GSM8K,1319,0.000758150113722517,0.9992418498862775,0.0,0.0,0.0,0.3,0,0,1318,1
Llama-3.1-8B,MLP,GSM8K,1319,0.000758150113722517,0.9992418498862775,0.0,0.0,0.0,0.5,0,0,1318,1
Llama-3.1-8B,MLP,GSM8K,1319,0.000758150113722517,0.9992418498862775,0.0,0.0,0.0,0.7,0,0,1318,1
Llama-3.1-8B,MLP,HotpotQA,7405,0.11586765698852126,0.8576637407157326,0.42653673163418293,0.6631701631701632,0.5191605839416058,0.3,569,765,5782,289
Llama-3.1-8B,MLP,HotpotQA,7405,0.11586765698852126,0.8914247130317353,0.5467128027681661,0.3682983682983683,0.4401114206128134,0.5,316,262,6285,542
Llama-3.1-8B,MLP,HotpotQA,7405,0.11586765698852126,0.8926401080351114,0.7333333333333333,0.11538461538461539,0.19939577039274925,0.7,99,36,6511,759
Llama-3.1-8B,MLP,MMLU,1531,0.1338994121489223,0.9098628347485304,0.6056782334384858,0.9365853658536586,0.735632183908046,0.3,192,125,1201,13
Llama-3.1-8B,MLP,MMLU,1531,0.1338994121489223,0.9281515349444808,0.6892430278884463,0.8439024390243902,0.7587719298245613,0.5,173,78,1248,32
Llama-3.1-8B,MLP,MMLU,1531,0.1338994121489223,0.9288047028086218,0.8243243243243243,0.5951219512195122,0.6912181303116148,0.7,122,26,1300,83
Llama-3.1-8B,MLP,SQuADv2,11873,0.11555630421965805,0.8985092226059126,0.5548980933596318,0.6151603498542274,0.5834773591427584,0.3,844,677,9824,528
Llama-3.1-8B,MLP,SQuADv2,11873,0.11555630421965805,0.9000252674134591,0.6824457593688363,0.2521865889212828,0.36828100053219803,0.5,346,161,10340,1026
Llama-3.1-8B,MLP,SQuADv2,11873,0.11555630421965805,0.8869704371262529,0.875,0.025510204081632654,0.049575070821529746,0.7,35,5,10496,1337
Llama-3.1-8B,MLP,TriviaQA,11313,0.35286838150799965,0.7171395739414832,0.5674157303370787,0.8349198396793587,0.6756537603892155,0.3,3333,2541,4780,659
Llama-3.1-8B,MLP,TriviaQA,11313,0.35286838150799965,0.7463095553787678,0.650887573964497,0.6062124248496994,0.6277561608300908,0.5,2420,1298,6023,1572
Llama-3.1-8B,MLP,TriviaQA,11313,0.35286838150799965,0.7029965526385574,0.7445820433436533,0.2409819639278557,0.36411809235427706,0.7,962,330,6991,3030
Qwen2.5-7B,MLP,GSM8K,1319,0.06292645943896892,0.9166034874905231,0.3333333333333333,0.3253012048192771,0.3292682926829268,0.3,27,54,1182,56
Qwen2.5-7B,MLP,GSM8K,1319,0.06292645943896892,0.9385898407884761,0.5555555555555556,0.12048192771084337,0.19801980198019803,0.5,10,8,1228,73
Qwen2.5-7B,MLP,GSM8K,1319,0.06292645943896892,0.9378316906747536,1.0,0.012048192771084338,0.02380952380952381,0.7,1,0,1236,82
Qwen2.5-7B,MLP,HotpotQA,7405,0.09966239027683997,0.8737339635381499,0.40610104861773116,0.5772357723577236,0.4767767207610521,0.3,426,623,6044,312
Qwen2.5-7B,MLP,HotpotQA,7405,0.09966239027683997,0.899932478055368,0.49705304518664045,0.3428184281842818,0.4057738572574178,0.5,253,256,6411,485
Qwen2.5-7B,MLP,HotpotQA,7405,0.09966239027683997,0.9039837947332883,0.6216216216216216,0.09349593495934959,0.1625441696113074,0.7,69,42,6625,669
Qwen2.5-7B,MLP,MMLU,1531,0.09797517962116264,0.9372958850424559,0.6194690265486725,0.9333333333333333,0.7446808510638298,0.3,140,86,1295,10
Qwen2.5-7B,MLP,MMLU,1531,0.09797517962116264,0.9353363814500326,0.6491228070175439,0.74,0.6915887850467289,0.5,111,60,1321,39
Qwen2.5-7B,MLP,MMLU,1531,0.09797517962116264,0.9386022207707381,0.7857142857142857,0.5133333333333333,0.6209677419354839,0.7,77,21,1360,73
Qwen2.5-7B,MLP,SQuADv2,11873,0.4052893118841068,0.7231533731996967,0.6400881866617674,0.7240232751454697,0.6794734275962945,0.3,3484,1959,5102,1328
Qwen2.5-7B,MLP,SQuADv2,11873,0.4052893118841068,0.7010022740672113,0.7575510204081632,0.3857024106400665,0.511153952079317,0.5,1856,594,6467,2956
Qwen2.5-7B,MLP,SQuADv2,11873,0.4052893118841068,0.6537522108986776,0.9070847851335656,0.16230257689110558,0.27533932663493743,0.7,781,80,6981,4031
Qwen2.5-7B,MLP,TriviaQA,11313,0.30495889684433836,0.7524087333156546,0.5656483916649808,0.8104347826086956,0.6662695103062076,0.3,2796,2147,5716,654
Qwen2.5-7B,MLP,TriviaQA,11313,0.30495889684433836,0.7786617166092107,0.6499682942295498,0.5942028985507246,0.6208358570563295,0.5,2050,1104,6759,1400
Qwen2.5-7B,MLP,TriviaQA,11313,0.30495889684433836,0.745425616547335,0.7553763440860215,0.24434782608695652,0.3692509855453351,0.7,843,273,7590,2607
